"","sex","race","agecat","n","prop"
"1","M","W","18-24",2793,0.0872839776243008
"2","M","W","25-34",2453,0.0766586455826745
"3","M","W","35-44",1784,0.0557517422419451
"4","M","W","45+",2109,0.0659083096346761
"5","M","B","18-24",280,0.00875027344604519
"6","M","B","25-34",887,0.0277196162380074
"7","M","B","35-44",1140,0.0356261133160411
"8","M","B","45+",2479,0.0774711709740929
"9","M","H","18-24",1051,0.0328447763992625
"10","M","H","25-34",2125,0.0664083252601644
"11","M","H","35-44",815,0.0254695459233101
"12","M","H","45+",734,0.0229382168192756
"13","M","O","18-24",124,0.0038751210975343
"14","M","O","25-34",389,0.0121566298946842
"15","M","O","35-44",105,0.00328135254226695
"16","M","O","45+",159,0.00496890527828995
"17","F","W","18-24",2286,0.0714397324916404
"18","F","W","25-34",2765,0.0864089502796962
"19","F","W","35-44",918,0.028688396512391
"20","F","W","45+",293,0.00915653614175443
"21","F","B","18-24",240,0.00750023438232445
"22","F","B","25-34",943,0.0294696709272165
"23","F","B","35-44",651,0.0203443857620551
"24","F","B","45+",1697,0.0530329072783524
"25","F","H","18-24",97,0.0030313447295228
"26","F","H","25-34",129,0.00403137598049939
"27","F","H","35-44",876,0.0273758554954842
"28","F","H","45+",1025,0.032032251007844
"29","F","O","18-24",212,0.00662520703771993
"30","F","O","25-34",85,0.00265633301040658
"31","F","O","35-44",208,0.00650020313134785
"32","F","O","45+",147,0.00459389355917372
